datalake,engine,query name,conf,latency,benchmark,sf
delta,presto,db19,7.2; 119.8; 48.4; 20.6; 30.2; 888.2; 928.5,26079.28,tpch,100
delta,presto,db8,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=16; query.max-total-memory-per-node=16; task.concurrency=24; task.max-worker-threads=48,18949.35,tpch,100
delta,presto,db9,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=16; query.max-total-memory-per-node=16; task.concurrency=24; task.max-worker-threads=48,65624.8,tpch,100
delta,presto,db1,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=24,87842.99,tpch,100
delta,presto,db10,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=24,10287.04,tpch,100
delta,presto,db11,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=24,11086.23,tpch,100
delta,presto,db12,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=24,74438.3,tpch,100
delta,presto,db13,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=24,78703.83,tpch,100
delta,presto,db14,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=24,80218.0,tpch,100
delta,presto,db15,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=24,11506.02,tpch,100
delta,presto,db16,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=24,11822.04,tpch,100
delta,presto,db17,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=24,12135.37,tpch,100
delta,presto,db18,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=24,11788.97,tpch,100
delta,presto,db19,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=24,11186.51,tpch,100
delta,presto,db2,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=24,38335.02,tpch,100
delta,presto,db20,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=24,29457.05,tpch,100
delta,presto,db21,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=24,16615.6,tpch,100
delta,presto,db22,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=24,88644.54,tpch,100
delta,presto,db3,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=24,58554.01,tpch,100
delta,presto,db4,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=24,120913.71,tpch,100
delta,presto,db5,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=24,56054.84,tpch,100
delta,presto,db6,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=24,105006.81,tpch,100
delta,presto,db7,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=24,16385.01,tpch,100
delta,presto,db8,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=24,13521.18,tpch,100
delta,presto,db9,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=24,28118.84,tpch,100
delta,presto,db1,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=24,12701.69,tpch,100
delta,presto,db10,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=24,10382.62,tpch,100
delta,presto,db11,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=24,29319.0,tpch,100
delta,presto,db12,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=24,46077.35,tpch,100
delta,presto,db13,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=24,53592.63,tpch,100
delta,presto,db14,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=24,10139.53,tpch,100
delta,presto,db15,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=24,83777.11,tpch,100
delta,presto,db16,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=24,91906.67,tpch,100
delta,presto,db17,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=24,92350.24,tpch,100
delta,presto,db18,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=24,20323.8,tpch,100
delta,presto,db19,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=24,13266.38,tpch,100
delta,presto,db2,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=24,17117.57,tpch,100
delta,presto,db20,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=24,14952.63,tpch,100
delta,presto,db21,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=24,106098.54,tpch,100
delta,presto,db22,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=24,14577.34,tpch,100
delta,presto,db3,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=24,114470.68,tpch,100
delta,presto,db4,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=24,41744.51,tpch,100
delta,presto,db5,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=24,22680.84,tpch,100
delta,presto,db6,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=24,103115.21,tpch,100
delta,presto,db7,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=24,13262.8,tpch,100
delta,presto,db8,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=24,97751.23,tpch,100
delta,presto,db9,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=24,14098.83,tpch,100
delta,presto,db1,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=16; task.max-worker-threads=16,92784.45,tpch,100
delta,presto,db10,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=16; task.max-worker-threads=16,17371.45,tpch,100
delta,presto,db11,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=16; task.max-worker-threads=16,11264.29,tpch,100
delta,presto,db12,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=16; task.max-worker-threads=16,37465.24,tpch,100
delta,presto,db13,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=16; task.max-worker-threads=16,78516.14,tpch,100
delta,presto,db14,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=16; task.max-worker-threads=16,78426.66,tpch,100
delta,presto,db15,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=16; task.max-worker-threads=16,10890.46,tpch,100
delta,presto,db16,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=16; task.max-worker-threads=16,11766.44,tpch,100
delta,presto,db17,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=16; task.max-worker-threads=16,12107.45,tpch,100
delta,presto,db18,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=16; task.max-worker-threads=16,11905.94,tpch,100
delta,presto,db19,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=16; task.max-worker-threads=16,12008.92,tpch,100
delta,presto,db2,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=16; task.max-worker-threads=16,30081.61,tpch,100
delta,presto,db20,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=16; task.max-worker-threads=16,29533.59,tpch,100
delta,presto,db21,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=16; task.max-worker-threads=16,16316.13,tpch,100
delta,presto,db22,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=16; task.max-worker-threads=16,56260.13,tpch,100
delta,presto,db3,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=16; task.max-worker-threads=16,46895.61,tpch,100
delta,presto,db4,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=16; task.max-worker-threads=16,117406.58,tpch,100
delta,presto,db5,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=16; task.max-worker-threads=16,60696.94,tpch,100
delta,presto,db6,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=16; task.max-worker-threads=16,111482.5,tpch,100
delta,presto,db7,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=16; task.max-worker-threads=16,18106.52,tpch,100
delta,presto,db8,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=16; task.max-worker-threads=16,13760.17,tpch,100
delta,presto,db9,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=16; task.max-worker-threads=16,44111.73,tpch,100
delta,presto,db1,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=48,55109.43,tpch,100
delta,presto,db10,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=48,78631.56,tpch,100
delta,presto,db11,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=48,87180.92,tpch,100
delta,presto,db12,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=48,24875.95,tpch,100
delta,presto,db13,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=48,10218.53,tpch,100
delta,presto,db14,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=48,82193.58,tpch,100
delta,presto,db15,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=48,11321.46,tpch,100
delta,presto,db16,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=48,35523.91,tpch,100
delta,presto,db17,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=48,88824.93,tpch,100
delta,presto,db18,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=48,90100.86,tpch,100
delta,presto,db19,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=48,88732.81,tpch,100
delta,presto,db2,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=48,106828.29,tpch,100
delta,presto,db20,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=48,109604.51,tpch,100
delta,presto,db21,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=48,124300.72,tpch,100
delta,presto,db22,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=48,87984.91,tpch,100
delta,presto,db3,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=48,14829.8,tpch,100
delta,presto,db4,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=48,15927.92,tpch,100
delta,presto,db5,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=48,22113.01,tpch,100
delta,presto,db6,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=48,14431.06,tpch,100
delta,presto,db7,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=48,99264.01,tpch,100
delta,presto,db8,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=48,97740.3,tpch,100
delta,presto,db9,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=32; task.max-worker-threads=48,54221.32,tpch,100
delta,presto,db1,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=18; task.concurrency=16; task.max-worker-threads=32,87432.72,tpch,100
delta,presto,db10,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=18; task.concurrency=16; task.max-worker-threads=32,77558.34,tpch,100
delta,presto,db11,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=18; task.concurrency=16; task.max-worker-threads=32,37076.56,tpch,100
delta,presto,db12,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=18; task.concurrency=16; task.max-worker-threads=32,74369.12,tpch,100
delta,presto,db13,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=18; task.concurrency=16; task.max-worker-threads=32,26340.19,tpch,100
delta,presto,db14,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=18; task.concurrency=16; task.max-worker-threads=32,79922.98,tpch,100
delta,presto,db15,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=18; task.concurrency=16; task.max-worker-threads=32,11250.81,tpch,100
delta,presto,db16,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=18; task.concurrency=16; task.max-worker-threads=32,11652.72,tpch,100
delta,presto,db17,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=18; task.concurrency=16; task.max-worker-threads=32,59463.78,tpch,100
delta,presto,db18,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=18; task.concurrency=16; task.max-worker-threads=32,11862.55,tpch,100
delta,presto,db19,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=18; task.concurrency=16; task.max-worker-threads=32,11977.19,tpch,100
delta,presto,db2,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=18; task.concurrency=16; task.max-worker-threads=32,23725.24,tpch,100
delta,presto,db20,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=18; task.concurrency=16; task.max-worker-threads=32,85109.19,tpch,100
delta,presto,db21,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=18; task.concurrency=16; task.max-worker-threads=32,46607.9,tpch,100
delta,presto,db22,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=18; task.concurrency=16; task.max-worker-threads=32,113702.73,tpch,100
delta,presto,db3,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=18; task.concurrency=16; task.max-worker-threads=32,42673.04,tpch,100
delta,presto,db4,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=18; task.concurrency=16; task.max-worker-threads=32,77296.0,tpch,100
delta,presto,db5,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=18; task.concurrency=16; task.max-worker-threads=32,78985.55,tpch,100
delta,presto,db6,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=18; task.concurrency=16; task.max-worker-threads=32,34138.06,tpch,100
delta,presto,db7,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=18; task.concurrency=16; task.max-worker-threads=32,107149.97,tpch,100
delta,presto,db8,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=18; task.concurrency=16; task.max-worker-threads=32,13874.09,tpch,100
delta,presto,db9,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=18; task.concurrency=16; task.max-worker-threads=32,27412.89,tpch,100
delta,presto,db1,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=256; query.max-memory=16; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=16; task.max-worker-threads=16,86752.88,tpch,100
delta,presto,db10,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=256; query.max-memory=16; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=16; task.max-worker-threads=16,79192.43,tpch,100
delta,presto,db11,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=256; query.max-memory=16; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=16; task.max-worker-threads=16,81522.18,tpch,100
delta,presto,db12,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=256; query.max-memory=16; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=16; task.max-worker-threads=16,25120.38,tpch,100
delta,presto,db13,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=256; query.max-memory=16; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=16; task.max-worker-threads=16,10159.21,tpch,100
delta,presto,db14,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=256; query.max-memory=16; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=16; task.max-worker-threads=16,78914.11,tpch,100
delta,presto,db15,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=256; query.max-memory=16; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=16; task.max-worker-threads=16,10948.53,tpch,100
delta,presto,db16,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=256; query.max-memory=16; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=16; task.max-worker-threads=16,11661.12,tpch,100
delta,presto,db17,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=256; query.max-memory=16; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=16; task.max-worker-threads=16,90697.5,tpch,100
delta,presto,db18,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=256; query.max-memory=16; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=16; task.max-worker-threads=16,94601.63,tpch,100
delta,presto,db19,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=256; query.max-memory=16; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=16; task.max-worker-threads=16,82534.29,tpch,100
delta,presto,db2,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=256; query.max-memory=16; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=16; task.max-worker-threads=16,14660.66,tpch,100
